lane_text,product,destination,tonnage,rate
KOLNGO F24- ATHIRIVER LAT BEER,BEER,BEER NBO,14T,33717.07
NEO F24. BOMET 147 BEER,BEER,BEER,24T,57363.99
NBO F24- RUNGOMA 147 BEER,BEER,BEER NBO,24T,99104.0
NBO F24- BUSIA 347 BEER,BEER,BEER NBO,24T,110943.09
NDO F24-CHUKA 147 BEER,BEER,BEER NBO,24T,30743.01
NBO F24 - ELDORET 147 BEER,BEER,BEER NBO,24T,79998.73
NBO F24 . EMOU 147 BEER,BEER,,24T,34004.38
KBLNEO F24- GIKOMBA 147 BEER,BEER,GIKOMBA,24T,15851.56
F24 . HURLIGHUM DEF 147 BEER,BEER,NAIROB,24T,31508.82
NBO F24 - INDUSTRIAL AREA 14T BEER,BEER,BEER NBO,14T,12329.14
NBO F24 . ISIOLO 147 BEER,BEER,GEER,24T,57558.23
NAO F24- KABARNET 147 BEER,BEER,GEER NBO,24T,81725.2
NBO F24- KABATI 147 BEER,BEER,BEER NBO,24T,16021.06
NBO F24 - KANGEMA LAT BEER,BEER,BEER,14T,27165.18
NGO F24. KIBERA 147 BEER,BEER,BEER NBO,24T,10372.17
NBO F24 - KISH 147 BEER,BEER,BEER NBO,24T,74580.04
NEO F24- KITALE 147 BEER,BEER,BEER NBO,24T,577.75
NBO F24 - KITU 147 BEER,BEER,,24T,41298.1
NBO F24 - LANET 147 BEER,BEER,BEER,24T,46202.47
NBO F24- LIMURU 141 BEER,BEER,NAIROBI,24T,15643.03
NBO F24 - MACHAKOS 147 BEER,BEER,BEER NBO,24T,22126.95
NEO F24 - MARALAL 147 BEER,BEER,,24T,73765.55
NEO F24. MATHARE 147 BEER,BEER,BEER INBO,24T,10764.17
KBLNGO F24- MERU 14T BEER,BEER,BEER INBO,14T,49332.59
NBO F24 - MOGOTIO 147 BEER,BEER,GEE,24T,56023.16
NBO F24 - MTONGWE 147 BEER,BEER,BEER NRO,24T,417378.03
NBO F24 - MURANGA 147 BEER,BEER,NRO MOUNTAIN,24T,24495.0
NBO F24 - MWIKI14T BEER,BEER,NAIROBI,14T,10764.17
KBLNOO F24 - NAIROBI 147 BEER,BEER,BEER,24T,13476.02
NBO F24 - NRB NASRA 14T BEER,BEER,NAIROB,14T,10666.17
NBO F24 - RONGAI14T BEER,BEER,,14T,11899.85
NBO F24- RUIRU 147 BEER,BEER,RUIRU,24T,13476.82
NBO F24- TALA 147 BEER,BEER,TAA,24T,29031.72
NBO F24. UKUNDA 147 BEER,BEER,UKUNDA,24T,124170.03
NBO F24- CHUKA 307 BEUR BEER,BEER,NBO MOUNTAIN,24T,69045.12
KOLNBO F24. EMALI30T BEER,BEER,OLE,30T,52623.99
KOLNDO F24- EMBU 30T BEER,BEER,BEER,30T,56317.1
NBO F24- GARISSA 30T BEER,BEER,BUER,30T,149174.63
XBLNGO F24. GIKOMBA 307 BEER,BEER,NAIROBI,24T,10006.2
KGLNAG F24 - GiLGil SOY MEER BEER,BEER,NBO RIFT,24T,55779.97
NIG F24- HURLIGHUM DEF 307 BEER,BEER,AIROML,24T,18086.2
NBO F24-HURUMA 307 BEER,BEER,NAIROBI,24T,15075.87
NGO F24- KABARNET 30T BEER,BEER,RIFT KABARNET,30T,800.0
F24. KAPSABET 30T BEER,BEER,RIFT,30T,128215.14
NAO F24- KERICHO 307 BEER,BEER,KERICHO,24T,106344.77
NBO F24- LOKICHOGIO SOT 6 BEER,BEER,,24T,321264.99
NBO F24- MARALAL 307 BEER,BEER,BEER,24T,297006.31
NAO F24- MARSAQIT 307 ACER BEER,BEER,NBO MOUNTAIN,24T,197506.59
NGO F24- MATHARE 307 BEER,BEER,BEER,24T,14798.8
NBO F24- MOGOTIO 30T BEER,BEER,BEER,30T,89138.2
NBO F24. MURANGA 30T BEER,BEER,BEER NBO,30T,34535.32
NBO F24- MWIKIZOT BEER,BEER,BEER NBO,24T,14798.8
NBO F24- NAIROBI THT 30T GEER BEER,BEER,NAIROBI,30T,14798.8
NBO F24- NAIVASHA 307 BEER,BEER,BEER NGO,24T,45257.04
NBO F24- NANOK JOT BLER BEER,BEER,NEO RIFT,24T,41275.44
KALNBO F24- NKUBU JOT BEER,BEER,NEO MOUNTAIN,24T,86540.65
