JURASSIC STORES 2013 LTD,,
UPDATED PRICELIST,,
Product Name,P/PCS,P/CTN
Kienyeji 750ml,455.00,450.00
Kikao 250ml,238.00,237.00
Kikao  750ml,700.00,697.00
kikao Gin 350ml,360.00,355.00
kingfisher  strawberrt crate,140.00,140.00
Kingfisher Strawberry 300Ml,187.00,185.00
Kingfisher Strawberry Bottle,18.00,18.00
Kings Carrier Bag 10,10.00,10.00
Kings Carrier Bag 15,15.00,15.00
Kings carrier bag 20,20.00,20.00
Kiss Me Now 750ml,"1,515.00","1,510.00"
K King 250Ml,222.00,220.00
K King 3/4,650.00,648.00
Knight 200Ml,300.00,300.00
Knight 350Ml,400.00,400.00
ko Apple and Lime  330ML,230.00,229.00
KO Apple & Ginger 330ml,230.00,229.00
KO Blush Gin 750ml,"2,120.00","2,110.00"
KO CLASSIC GIN 750ML,"2,120.00","2,110.00"
KO Classic Tonic  Can 200ml,105.00,104.00
Ko Dry Cider 330ml,160.00,160.00
Ko Dry Cider 500ml  Can,195.00,195.00
KO HONEY AND LEMON CAN 330ML,230.00,229.00
KO Honey & Lemon 330ml,230.00,229.00
KO Light Tonic  Can 200ml,105.00,104.00
KO Lime & Ginger 330ml,230.00,229.00
Ko Lime & Ginger  330ml  Can,229.00,229.00
KO Mango & Chilli 330ml,230.00,229.00
Ko Mango & Chilli 330ml Can,230.00,229.00
Konyagi 1/4,230.00,228.00
Konyagi 500ml,470.00,468.00
Konyagi 750ml,662.00,660.00
KO Passion African Ice Tea  Can 330ml,150.00,150.00
KO Passion Fruit and Lime 330ml Can,230.00,229.00
KO Passion Lime 330ml,230.00,229.00
KO Pineapple Mint 330ml,230.00,229.00
Ko Pineapple  & mint  can 330ml,230.00,229.00
KO Rose& Cucumber Tonic Can 200ml,105.00,104.00
KO TAMBUZI,"2,120.00","2,110.00"
KO Tropical African Ice Tea can,150.00,150.00
KO Turmeric& Chilli Tonic 200ml,105.00,104.00
Krest 1.25 Ltr,125.00,125.00
Krest 350 Ml,40.00,40.00
Krest 500 Ml,70.00,70.00
K VANT 250ML,315.00,312.00
K VANT 750ML,"1,045.00","1,040.00"
LABEL 5 BLENDED SCOTCH  WHISKY  750ML,"1,260.00","1,250.00"
Lambrusco  wine 750,400.00,400.00
Larios Gin Original 750ml,"1,383.00","1,363.00"
Legend 250ml,200.00,198.00
Legend 750ml,545.00,542.00
Legend black label 250ml,170.00,170.00
Legend Brandy 350ml,227.00,225.00
Lemonade Drink 300ml,39.00,38.00
LEMONADE KWAL,40.00,40.00
LEMONADE VODKA 330ML,155.00,154.00
Lemon Punch 250ml,170.00,168.00
Lemon Punch 750ml,518.00,515.00
Les Damiers Sweet Red 750ml,395.00,390.00
Les Damiers Swt Rose 750ml,395.00,390.00
Les Damiers Swt White 750ml,395.00,390.00
Liberty Brown 250ml,225.00,224.00
Lifeguard Studded,620.00,620.00
Lime Cordial 1.5L,238.00,237.00
Lime Cordial 700Ml,124.00,123.00
Lime mixer 300ml,47.00,46.00
Lion Export Premium 8%,265.00,265.00
Lion  extra  strong 12%,270.00,270.00
Lion Stout 8%,285.00,280.00
LUCOZADE 1 LTR,238.00,237.00
LUCOZADE ORANGE 500ML,196.00,195.00
LUCOZADE ORIGINAL 500ML,196.00,195.00
Luksusowa Vodka 750ml,555.00,553.00
Macmohan 750,935.00,930.00
Madafu,743.00,740.00
Magic Moments Orange 375Ml,400.00,400.00
Malibu Caribear Rum 750ml,"1,950.00","1,900.00"
Malibu Coconut 1L,"2,450.00","2,445.00"
Manyatta Bottle,17.00,17.00
Manyatta Cider,230.00,229.00
Manyatta Crates,335.00,335.00
Manyatta Lemon,230.00,229.00
Manyatta Mango,230.00,229.00
Manyatta Pineapple,230.00,229.00
Manyatta Pineapple Can 330ml,250.00,249.00
MARA NYEKUNDU,"1,065.00","1,060.00"
Mara Nyekundu 250ml,250.00,250.00
Mara Nyeupe 250ml,250.00,250.00
Mara Nyeupe 750ml,"1,065.00","1,060.00"
MARA TAMU RED 750ML,"1,020.00","1,015.00"
MARA TAMU ROSE 750ML,"1,020.00","1,015.00"
Marengo Sweet Rose 750ml,"1,345.00","1,340.00"
Marengo sweet white sparkling 750ml,"1,345.00","1,340.00"
Martell Blue Swift 700ml,"9,153.00","9,110.00"
MARTELL VSOP 1L,"10,990.00","10,940.00"
Martel VS 1 LTR,"7,155.00","7,120.00"
Martel Vs 700ml,"5,026.00","5,006.00"
Martel Vsop 700Ml,"7,915.00","7,877.00"
MARTENS BEER 10% 500ML,232.00,230.00
Martens Strong 16.2% 500ml,252.00,250.00
MARTINI BIANCO 750ML,"2,432.00","2,420.00"
Martini Rosso 750ml,"2,212.00","2,200.00"
Meakins orange 250ml,200.00,200.00
Meakins orange 750ml,606.00,603.00
Meakins Vodka 250ml,211.00,210.00
Meakins Vodka 3/4,606.00,603.00
Meracki Citrus 250Ml,236.00,232.00
Metropolitan 750,250.00,250.00
Mikando Cherry 700ml,"1,288.00","1,285.00"
Mikando Swt Red Black Berry 700ml,"1,025.00","1,020.00"
Mikando Swt Red Plum 700ml,"1,288.00","1,285.00"
Mikando Swt White Passion 700ml,"1,025.00","1,020.00"
Mikando Swt White Pineapple 700ml,"1,025.00","1,020.00"
Mikando Swt White Plum 700ml,"1,025.00","1,020.00"
Milano Bianco 750Ml,412.00,412.00
Minute Maid Mango 1ltr,195.00,190.00
Minute Maid Tropical 1ltr,195.00,190.00
Mistral Apple 250Ml,225.00,220.00
Mistral Apple 750Ml,650.00,645.00
Mistral Chocolate 750ml,650.00,645.00
Mistral Distilled 250Ml,195.00,194.00
Mistral Distilled 750Ml,664.00,661.00
Mistral Mango 250Ml,225.00,220.00
Mistral Mango 750Ml,650.00,645.00
Mistral Strawberry 750ml,650.00,645.00
Mohan'S Sweet Red 750Ml,715.00,710.00
Mohans Sweet White 750ml,715.00,710.00
Monster Mucho Blue 500ml,197.00,195.00
Monster Original 500Ml,197.00,195.00
Monster Rossi 500ml,197.00,195.00
Monster White 500ml,197.00,195.00
moonwalker 750,350.00,350.00
Morning Lock Vodka 250nl,265.00,260.00
Mr Dowel 250ml,283.00,280.00
MR DOWELL 750ML,807.00,800.00
Musketeer 250Ml,194.00,193.00
Musketeer 750Ml,735.00,730.00
Myers Rum 1Lt,"2,335.00","2,335.00"
Myers Rum 750Ml,"1,700.00","1,690.00"
Namaqua swt Red  3/4,803.00,799.00
Napoleon 250Ml,222.00,220.00
Napoleon 3/4,650.00,648.00
Napoleon Crown 250Ml,262.00,260.00
Napoleon Crown 750Ml,730.00,726.00
Natures Fresh Red Grape 1lt,172.00,171.00
Nederbrg 5600 Cab. Sauvignon 750Ml,"1,920.00","1,910.00"
Nederbrg Merlot 750Ml,"1,920.00","1,910.00"
Nederbrg Sauvignon Blanc 750Ml,"1,555.00","1,550.00"
Nederburg Brut  750ml,450.00,450.00
Nederburg Cab. Sauv. 750ml,"1,920.00","1,910.00"
Nederburg Chardony750ml,"1,652.00","1,645.00"
Nederburg  MH Cab Sav 750ml,"2,600.00","2,605.00"
Nederburg Pinotage 750,"1,910.00","1,910.00"
Nederburg Shiraz  750ml,"1,910.00","1,910.00"
Neon Premium 375ml,250.00,250.00
Nobile Bianco 750ml,"1,210.00","1,200.00"
Oak Cask 700Ml,802.00,798.00
Obikwa Chardony 750ml,400.00,400.00
Obikwa  Merlot 750ml,400.00,400.00
Obikwa Sauvignon 750ml,400.00,400.00
Obolon Extra Strong 12%,182.00,180.00
Officer`S  Blue 750Ml,875.00,870.00
Officer'S  Prestige 375Ml,250.00,250.00
Officer`S  Prestige 750Ml,890.00,885.00
OJ 12 %,262.00,260.00
OJ 16%,348.00,346.00
OJ 20%,364.00,362.00
Old Admiral 375,300.00,300.00
Old Monk Rum 375Ml,410.00,405.00
Old Monk Rum 750ml,"1,045.00","1,040.00"
Old Smuggler 700Ml,"1,165.00","1,160.00"
Olepasu 750ml,650.00,650.00
OPM Vodka 250ml,323.00,320.00
OPM VODKA 375ML,560.00,556.00
OPM  VODKA 750ML,930.00,920.00
Oreanda Carbanet 750ml,"1,050.00","1,050.00"
Oreanda  Chardonnay 750ml,"1,050.00","1,050.00"
Orienda Brut 750ml,"1,400.00","1,390.00"
Origin 250Ml,236.00,235.00
Origin 750ml,632.00,626.00
Overmeer  Grand Cru 5 Ltrs,"3,450.00","3,400.00"
Overmeer Red 5 Ltr,"3,450.00","3,400.00"
Paddy Irish Whisky 750ml,"1,250.00","1,240.00"
PALL MALL,167.00,167.00
Passport 750ml,"1,100.00","1,095.00"
Passport Whisky 1L,"1,355.00","1,355.00"
Patriot Gin 250ml,190.00,187.00
Patriot vodka 250ml,190.00,187.00
Patron Silver 375ml,"1,400.00","1,400.00"
Pearz Bay Breeze 300ml,135.00,130.00
Pearz Blackberry 300ml,135.00,130.00
Pearz Ocean Breeze,135.00,130.00
Pearz Sea Breaze 300ml,135.00,130.00
Penasol Dry Red 1L,785.00,780.00
Penasol dry red 750ml,785.00,780.00
Penasol Dry White 1L,785.00,780.00
Penasol Sangria 1.5L,"1,585.00","1,575.00"
Penasol Sangria 1L,"1,130.00","1,127.00"
Penasol Sweet  Red 1L,785.00,780.00
Penasol Sweet White 1L,785.00,780.00
PEOPLE VODKA 2,105.00,105.00
PEOPLE VODKA  250ML,130.00,129.00
Pervak 750ml,"1,065.00","1,060.00"
Pervak Vodka 1L,"1,245.00","1,240.00"
Pervak Vodka Pepper &Honey 1Ltr,"1,080.00","1,080.00"
Peterhoff Black Vodka 700ml,658.00,655.00
Peterhoff  Red Vodka 700ml,763.00,760.00
Pick N Peel Mango 1L,252.00,250.00
Pick N Peel Tropical 1L,252.00,250.00
PICK & PEEL  APPLE 1L,252.00,250.00
Pierre Marcel swt Red 750ml,993.00,993.00
Pierre marcel Swt white 750ml,993.00,993.00
Pilsner Can 500Ml,205.00,204.00
Pimms 750ml,"1,500.00","1,500.00"
piston,151.00,150.00
Plantaze Cabernet 750ml,"2,000.00","1,990.00"
Plantaze Chardonnay 750ml,"2,315.00","2,300.00"
Plantaze Merlot 750ml,"2,000.00","1,990.00"
Plantaze Rose 750ml,"1,530.00","1,520.00"
Plantaze Sauvignon 750ml,"2,315.00","2,300.00"
Plantaze Vranac  750ml,"2,235.00","2,225.00"
POPOV VODKA 750ML,600.00,600.00
Power Play 400ml,55.00,53.00
Predator Gold 400ml,56.00,54.00
Q1 GIN 750ML,732.00,730.00
Qube Energy,110.00,108.00
Radico Gold Supreme 250Ml,201.00,201.00
Rauch Apple,130.00,130.00
Rauch Mango 355ml,130.00,130.00
Rauch Orange,130.00,130.00
Rauch Red Grape  355ml,130.00,130.00
Rauch White Grape,130.00,130.00
Red Blaze  Energy 150ml,100.00,100.00
redbull 250ml,185.00,184.00
RedBull Red Edition 250ml,185.00,184.00
REDBULL  SUGARFREE 250,185.00,184.00
Red Star 250ml,200.00,196.00
Remy Martin Vsop 700,"7,175.00","7,140.00"
Reserve 375,367.00,365.00
RESERVE 7 750ML,785.00,780.00
Rhino Kubwa,40.00,40.00
Rhino Ndogo,30.00,30.00
Richot Brandy 1/2,591.00,588.00
Richot Brandy 1/4,425.00,423.00
Richot Brandy 3/4,"1,273.00","1,261.00"
Robertson Red 1.5l,"1,740.00","1,735.00"
Robertson swt red 750ml,"1,000.00",995.00
Robertson swt white 750Ml,"1,000.00",995.00
Robertson White 1.5L,"1,740.00","1,735.00"
Rocamar dry white 750,450.00,450.00
Rosso Nobile Chocolata 750,"1,210.00","1,200.00"
ROSSO NOBILE MARZIPAN 750ML,"1,210.00","1,200.00"
ROTHMANS MINT,352.00,352.00
Rothmans Switch,352.00,352.00
Royal Arms 750ml,890.00,880.00
Royal Circle 1ltr,"1,206.00","1,200.00"
Royal Circle 375ml,509.00,506.00
Royal Circle  750ml,"1,095.00","1,090.00"
Royal Circle Honey 750ml,"1,134.00","1,128.00"
Royal Circle Whisky Cola 250ml,262.00,260.00
ROYAL DUTCH 500ML 12%,225.00,224.00
ROYAL  DUTCH 500ML 14%,230.00,229.00
ROYAL DUTCH 500ML 16%,293.00,290.00
Royal Gold Whisky 750,575.00,570.00
Royal Stag 375ml,425.00,422.00
Royal Stag Whisky 750ml,926.00,922.00
RTN BOTTLES (SCHWEPPES),10.00,10.00
RTN CRATES (SCHWEPPES),220.00,220.00
Rum Black Head 750ml,635.00,630.00
Safari Cane 250Ml,197.00,195.00
Safari Cane 3/4,575.00,571.00
Safari Energy Booster,39.00,38.00
Safari King,210.00,210.00
Safari Menthol,210.00,210.00
Safari Orange 300ml,37.00,36.00
Safari Water 1L,40.00,39.00
Safari Water 500Ml,21.00,20.00
Safari Whisky 250ml,257.00,255.00
Safari Whisky 750Ml,776.00,773.00
SAFARI WHISKY GIFT PACK 750ML,855.00,850.00
Safi Water 1ltr,34.00,33.00
Safi Water 500ml,18.00,17.00
SAMANTHA  RED 750ML,"1,010.00","1,000.00"
SAMANTHA ROSE 750ML,925.00,925.00
SAMANTHA WHITE 750ML,"1,010.00","1,000.00"
SANANTHA ROSE 750ML,925.00,925.00
Santa Helena Dulce red 750ml,712.00,710.00
Savanna 0.0  330ml,243.00,243.00
Savanna Dry 330Ml,223.00,222.00
Savanna Dry Lemon 330ml,243.00,242.00
Savanna Light 330ml,243.00,242.00
Schweppes  Ginger Ale 330ml,55.00,50.00
Schweppes lemon Tonic 500ml,65.00,65.00
Schweppes Novida pineapple 300ml,50.00,48.00
Schweppes Tonic water 300,55.00,50.00
SCOTS GOLD BLACK 1L,"1,560.00","1,550.00"
SCOTS GOLD BLACK 750ML,"1,410.00","1,405.00"
SCOTS GOLD RED 1L,"1,410.00","1,405.00"
SCOTS GOLD RED 750ML,"1,200.00","1,196.00"
Scottish Leader 12yrs 750ml,"3,411.00","3,395.00"
Scottish Leader 3yrs  750ml,"1,678.00","1,669.00"
season lemu,34.00,33.00
Seasons lemonade,34.00,33.00
Shark 250Ml,164.00,163.00
SHERIDAN 1L,"4,576.00","4,532.00"
Shustoff Brandy 500ml,975.00,970.00
Sierra Tequila Silver 700ml,"1,935.00","1,925.00"
SINGLETON 12YRS 700ML DUFFTOWN,"4,745.00","4,720.00"
SINGLETON 15YRS 700ML DUFFTOWN,"6,530.00","6,500.00"
SINGLETON 700ML 12YRS,"4,713.00","4,690.00"
Sir Edwards 700ml,"1,310.00","1,300.00"
Sir Edward Whisky 1litre,"1,510.00","1,500.00"
Sir Edward Whisky 350ml,520.00,517.00
SKY VODKA 750ML,"1,250.00","1,250.00"
Smart Vodka 250ml,121.00,120.00
S MENTHOL,352.00,352.00
Smirnoff Black Ice Can 330Ml,181.00,180.00
SMIRNOFF CITRUS 1L,"1,563.00","1,563.00"
Smirnoff Guarana 330Ml,181.00,179.00
Smirnoff ice pineapple 330ml,181.00,180.00
SMIRNOFF ORANGE 1L,"1,563.00","1,563.00"
Smirnoff Red 1/2,590.00,588.00
Smirnoff Red 1L,"1,642.00","1,626.00"
Smirnoff Red 250ml,425.00,423.00
Smirnoff  Red 750ml,"1,273.00","1,261.00"
Snapp  Can 330Ml,181.00,180.00
Snapp Dry Can,287.00,285.00
Southern  Comfort 1l,"2,195.00","2,185.00"
Southern Comfort 375Ml,625.00,620.00
Southern Comfort 700 ml,"1,970.00","1,950.00"
Sports,352.00,352.00
Sprite 1.25,120.00,110.00
Sprite 500 Ml,70.00,70.00
St Anna,655.00,651.00
Star Walker 750ml,"1,205.00","1,200.00"
St Celin00Ml,700.00,690.00
Steam Energy Original 300ml,31.00,30.00
Steam Original Energy 400ml,45.00,44.00
Steam Power Black 300ml,31.00,30.00
Steam Power Black 400ml,45.00,44.00
Steam  Power Energy 400ml,45.00,44.00
Steam Recharge 300ml,31.00,30.00
Steam Recharge 400ml,45.00,44.00
STERLING RESERVE B7 WHISKY 750ML,900.00,897.00
Stoney 500ml,70.00,60.00
STUMBRAS VODKA 350ML,564.00,561.00
Supermatch Kings,170.00,170.00
Supreme Vodka 250ml,150.00,149.00
Supreme Vodka 750ml,560.00,557.00
sweet berry2,100.00,100.00
Sweet Berry Vodka  250ml,116.00,115.00
Symba Vodka 250ml,174.00,173.00
TAIFFA VODKA 250ML,230.00,228.00
TAIFFA VODKA 750ML,630.00,625.00
Tanqueray 10 yrs 1 LTR,"5,005.00","4,980.00"
Tanqueray  10 yrs 750ML,"4,185.00","4,165.00"
Tanqueray  Gin 1ltr,"3,115.00","3,105.00"
Tanqueray Gin 750ml,"2,355.00","2,345.00"
Tanqueray Rangpur lime 700ml,"2,350.00","2,345.00"
Tanquery Sevilla  1 ltr,"3,250.00","3,235.00"
Tassenberg dry red wine 750ml,400.00,400.00
Teachers Whisky 1L,"1,933.00","1,924.00"
Teachers Whisky 750Ml,"1,724.00","1,716.00"
Teeling Small Batch 700ml,"2,430.00","2,400.00"
Teeling Whisky 700ml,"2,935.00","2,900.00"
Tequila Camino Gold 750ml,"2,260.00","2,250.00"
Tequila Rose 700ml,"2,038.00","2,028.00"
The Wilshire whisky 750ml,"1,100.00","1,095.00"
Three Barrel 1L,"2,350.00","2,340.00"
Tiger Eye 1 ltr Blanca Glass Pack,"1,095.00","1,090.00"
Tiger Eye 1 ltr Dark Glass Pack,"1,095.00","1,090.00"
Tiger Eye 750ml,948.00,943.00
Time Menthol Plus,183.00,183.00
Time Virginia Blend,183.00,183.00
Tonic Water 500 Ml,75.00,75.00
Top secret 250ml,264.00,263.00
Top Secret Whisky 750Ml,725.00,720.00
Torrero 250ml,275.00,273.00
Torrero 750ml,700.00,697.00
Tot measure,800.00,800.00
Trace vodka 250ml,156.00,155.00
Trace Vodka 250ml 2,100.00,100.00
Tribal Vodka 250ml,166.00,165.00
Triple Ace 250ml,217.00,215.00
Tripple Ace 750ml,567.00,562.00
Trust Classic,620.00,620.00
Trust Studded,985.00,980.00
Tulivu 1L,33.00,33.00
Tulivu 500ml,17.00,17.00
Tulivu  Executive 1L,47.00,47.00
Tulivu Executive 500ml,17.00,17.00
Tullamore 1ltr,"3,675.00","3,655.00"
Tullamore 750Ml,"2,635.00","2,625.00"
Tumbler 200ml,10.00,10.00
Tumbler 300ml,10.00,10.00
Tusker Can 500Ml,205.00,204.00
Tusker Cider Can 500ml,241.00,240.00
Tusker Lite 500Ml,250.00,249.00
Tusker Malt 500Ml,250.00,249.00
TWO KEYS 750ML,889.00,884.00
Tycoon Vodka 250ml,97.50,97.50
U gin 250ml,264.00,263.00
U gin 750ml,668.00,665.00
UPRISE  500ML,252.00,250.00
Urban Whisky 250ml,378.00,375.00
Urban Whisky 750ml,925.00,925.00
V&A 250Ml,303.00,301.00
V&A 3/4,790.00,783.00
Van Lovelen Blanc 750ml,492.00,490.00
Vat 69 1/2,765.00,761.00
VAT 69 1L,"1,785.00","1,780.00"
Vat 69 250ml,522.00,519.00
Vat 69 3/4,"1,423.00","1,409.00"
VBELO URBAN VIBE,290.00,290.00
Velo Indigo Blue 3dot,375.00,375.00
Velo Jade Green 3dot,375.00,375.00
VELO URBAN,290.00,290.00
VELO VALUE PACK UV,590.00,590.00
Versus Sweet Red 750ml,853.00,851.00
Versus Sweet White 750ml,853.00,851.00
Viceroy 10 Yrs 750ml,"3,006.00","2,991.00"
Viceroy 1/2,632.00,629.00
Viceroy 1/4,433.00,431.00
Viceroy 3/4,"1,225.00","1,218.00"
Viceroy With Glass 750ml,"1,100.00","1,100.00"
Vina Lastra White 750ml,695.00,685.00
Vintage 250ml,238.00,237.00
Vintage 350ml,360.00,355.00
Vintage 750ml,700.00,697.00
Waragi 250ml,212.00,210.00
Waragi gin 750ml,630.00,625.00
Weidmann Super Strong 12%,175.00,173.00
White Cap Can,223.00,222.00
White Cap  Crisp Can,240.00,238.00
White House 375ml,493.00,490.00
White House 750Ml,960.00,955.00
WHITE LACE GIN 1 LTR,"1,560.00","1,550.00"
white lace gin 500ml,780.00,775.00
White Owl 750ml,665.00,660.00
whitepearl 250ml,200.00,199.00
White Pearl 750 Ml,645.00,642.00
Whitepearl Pink 250ml,203.00,202.00
Whitepearl Pink 750ml,595.00,593.00
Whytehall Fire 1l,"1,410.00","1,405.00"
Whytehall honey 1lt,"1,410.00","1,405.00"
Wiliam Lawsons apple can 330ml,175.00,174.00
William Cola Can 330ml,175.00,174.00
William Lawson 1L,"2,215.00","2,203.00"
William Lawsons 1.5L,"2,705.00","2,689.00"
William Spiced 750ml,"1,688.00","1,680.00"
Willian Lawson 375Ml,865.00,860.00
Willian Lawson 750Ml,"1,663.00","1,655.00"
Wilson Whiskey 750ml,"1,760.00","1,750.00"
Windhoek 330ml Draught,188.00,187.00
Windhoek 330ml LGR,188.00,187.00
W water 1ltr,34.00,33.00
W water 500ml,19.00,19.00
Yatta Apple 1L,189.00,188.00
Yatta Juice Red 1L,189.00,188.00
Yatta Juice White 1L,189.00,188.00
Yatta Mango 1L,189.00,188.00
Yatta Tropical 1L,189.00,188.00
Zanzi Cappucino Cream 750Ml,900.00,895.00
Zappa Blue 750Ml,"1,300.00","1,290.00"
Zappa Red 750Ml,"1,470.00","1,450.00"
