JURASSIC STORES 2013 LTD,,
UPDATED PRICELIST,,
Product Name,P/PCS,P/CTN
Best Whisky 250Ml,321.00,319.00
Best Whisky 750Ml,935.00,932.00
Beyti Cocktail 1L,161.00,150.00
Beyti Mango 1L,152.00,150.00
Beyti Orange 1L,152.00,150.00
BEYTI QUAVA 1L,152.00,150.00
BILA SHAKA IPA 330ML,223.00,220.00
Black Bird Sweet Red 750Ml,900.00,896.00
Black Bird Sweet Rose 750Ml,900.00,896.00
Black Bird Sweet White 750Ml,900.00,896.00
Black Stallion 375Ml,300.00,300.00
Black Tower Rivaner  750Ml,770.00,760.00
Black & White 1 Ltr,"1,539.00","1,524.00"
Black & White 250ml,414.00,412.00
Black& White 375ml,587.00,584.00
Black & White 750ml,"1,141.00","1,130.00"
Blue ice Coconut 250ml,150.00,149.00
Blue Ice Vodka 250ml,150.00,149.00
Blue moon vodka 250ml,200.00,198.00
Blue moon vodka 350ml,227.00,225.00
Blue moon vodka 750ml,455.00,435.00
Blue Mountain 250ml,141.00,140.00
BLUESTAR 250ML,140.00,139.00
Blue Waves 250ml,106.00,105.00
Bluice Coconut 750ml,470.00,468.00
Bombay Dry Gin 750ml,"1,905.00","1,895.00"
Bombay Saphire 750Ml,"2,675.00","2,665.00"
Bombay Sapphire 1lt,"2,850.00","2,840.00"
Bond 7 250Ml,425.00,423.00
Bond 7 350ml,590.00,588.00
Bond 7 750Ml,"1,273.00","1,267.00"
Bottega Fragolino Rosso 750ml,"2,045.00","2,040.00"
bovine energy,37.00,36.00
BREEZER LIME 275ML,184.00,182.00
BREEZER PEACH 275ML,184.00,182.00
BREEZER PINEAPPLE 275ML,184.00,182.00
BREEZER WATERMELON 275ML,184.00,182.00
Brigadier blue 750ml,450.00,450.00
Brigadier clear 750ml,450.00,450.00
Brigadier green 750ml,450.00,450.00
BULLEIT BOURBON 700,"3,008.00","3,073.00"
BUONO AMICI CUVEE 750ML,"2,300.00","2,288.00"
BUONO AMICI PROSECCO BRUT,"2,615.00","2,600.00"
BUONO AMICI PROSECCO ROSE 750,"2,927.00","2,912.00"
Camino clear 750ml,"2,260.00","2,250.00"
Campari 750ml,"2,750.00","2,700.00"
Campari Bitters 1ltr,"2,200.00","2,185.00"
CAPITAN 500ML,234.00,233.00
Caprice Dry Red 1L,891.00,886.00
Caprice Dry White 1L,891.00,886.00
Caprice Sweet Red 1L,891.00,886.00
Caprice Sweet White 1L,891.00,886.00
Captain Morgan  gold 250ml,346.00,345.00
Captain Morgan Gold 750ml,942.00,933.00
Captain Morgan Gold Spiced 750ml,"1,830.00","1,813.00"
Captain Morgan Jamaican Rum 1l,"1,880.00","1,880.00"
Captain Morgan Jam Rum 750ml,"1,430.00","1,430.00"
Captain Morgan spiced Gold 1 ltr,"2,330.00","2,307.00"
Caribia Cane 250ml,184.00,183.00
Caribia Cane 750ml,501.00,696.00
Caribia Gin 250ml,243.00,241.00
Caribia Gin 350ml,332.00,331.00
Caribia Gin 750ml,657.00,664.00
Caribia Soda 350ML,50.00,50.00
Caribia Soda 500ml,50.00,50.00
Carlo Rossi  swt white  750ml,450.00,450.00
Casa Buena Sweet Red 1L,730.00,726.00
Casa Buena Sweet White 1L,730.00,726.00
Cash Sale  Bk  4UPS,40.00,40.00
Cash Sale Bk 6Up,40.00,40.00
Cash Sale Bk 8Up,40.00,40.00
Castel Dolce Spumante,654.00,645.00
Castle  Brand 350Ml,215.00,212.00
Castle  Lite  375ml,150.00,148.00
Castle  Lite Bottle,15.00,15.00
Castle  Lite Shell,250.00,250.00
Cellar Accient 750ml,"1,750.00","1,750.00"
Cellar Cask Red 1lrt,750.00,764.00
Cellar Cask red 5L 2,"4,000.00","3,990.00"
Cellarcask red 750ml 2,"1,000.00",995.00
Cellar Cask White 1L,760.00,756.00
Cellar Red Jhb 5L,"4,132.00","4,112.00"
Cellar Red Jhb 750Ml,972.00,968.00
Cellar White 5L,"3,800.00","3,700.00"
Cellar white 5L2,"3,850.00","3,835.00"
Cellar White 750ml2,"1,000.00",995.00
Cellar Wht Jhb 750Ml,972.00,968.00
Chamdor Red 1,728.00,724.00
Chamdor Red 750 2,300.00,300.00
Chamdor Wht 750,728.00,724.00
Chivas Regal 12yrs 1L,"4,760.00","4,735.00"
Chivas Regal 12yrs 750ml,"3,560.00","3,550.00"
Choco Toffee Sweet Red 750ml,"1,360.00","1,350.00"
Chrome 250Ml,213.00,212.00
Chrome Gin 250ml,213.00,212.00
Chrome Gin 750ml,585.00,580.00
Chrome Lemon 250ml,213.00,212.00
chrome vodka 750ml,585.00,580.00
CH VALAC MEDIUM SWT RED 750ML,606.00,606.00
CH VALAC RED 750ML,606.00,606.00
Cinzano Biaco,"1,000.00","1,000.00"
CIROC 750ML,"4,469.00","4,448.00"
Clan sinclar 750ml,"2,623.00","2,610.00"
Class 21 Fussion 375Ml,349.00,250.00
Class 21 Grain Vodka 750Ml,620.00,620.00
Class 21 Green Apple 375Ml,250.00,250.00
Class 21 Green Apple 750Ml,693.00,683.00
Class 21 Orange 375Ml,250.00,250.00
Class 21 Raspberry  375Ml,250.00,250.00
Class 21 Raspberry  750Ml,620.00,620.00
class 21 vodka 375ml,200.00,200.00
Clubman 250Ml,267.00,266.00
Clubman750Ml,721.00,718.00
Coke 1.25 Ltr,120.00,120.00
Coke 2 Ltr,170.00,170.03
Coke 350 Ml,40.00,40.00
Coke 500 Ml,70.00,70.00
Consulate Gin 750Ml,910.00,910.00
Coralba 750Ml,452.00,452.00
Corona Extra  330ml,252.00,250.00
County Brandy 250Ml,230.00,229.00
County Brandy 750Ml,648.00,645.00
COURVOISIER VS 1LTR,"6,330.00","6,300.00"
COURVOSIER VSOP 1 LTR,"7,070.00","7,035.00"
Crazy Cock 250Ml,345.00,344.00
Crazy Cock 350Ml,530.00,525.00
Crazy Cock 750Ml,940.00,935.00
Crazy Cock 750 With Box,993.00,990.00
Cruz Classic Black 750Ml,"1,524.00","1,516.00"
Dallas Brandy 250ml,120.00,119.00
Dallas Brandy 750ml,550.00,550.00
Dallas Gin 250ml,120.00,119.00
Damburger 16.2% 500ml,242.00,240.00
Delmonte Apple 1L,245.00,244.00
Delmonte CranBerry Apple,245.00,244.00
Delmonte Mango 1L,245.00,244.00
Delmonte  Mixed Berry 1L,245.00,244.00
Delmonte Orange Blend 1L,275.00,274.00
Delmonte Passion 1L,245.00,244.00
Delmonte Pineaple Gold 1L,245.00,244.00
Delmonte Pineaple Mango 1L,245.00,244.00
Delmonte Pineapple Blend 1L,245.00,244.00
Delmonte  Rasberry 1L,245.00,244.00
Delmonte Tropical 1L,245.00,244.00
Delush Sweet Red 5L,"2,665.00","2,650.00"
Delush  Sweet Red 750ml,815.00,812.00
Delush Sweet White 5L,"2,665.00","2,650.00"
Delush Sweet White 750ml,815.00,812.00
