lane_text,lane_code,product,tonnage,rate
NOO F24- MATUU 30T KEG,F24,KEG,30T,45618.81
KBLNBO F24 - MLOLONGO 30T KEG,F24,KEG,30T,21681.46
KBLNBO F24 - MWATATE 307 KEG,F24,KEG,24T,137243.0
NBO F24 - NAIVASHA 30T KEG,F24,KEG,30T,39301.83
NBO F24 - NAKURU 30T KEG,F24,KEG,30T,70194.24
NBO F24 . NANYUKISOT KEG,F24,KEG,24T,80494.63
NBO F274 - NAROK JOT KEG,F27,KEG,30T,63561.67
KBLNBO F24 - NGARA 30T KEG,F24,KEG,30T,20145.07
NBO F24 - NIORO 30T KEG,F24,KEG,30T,69458.31
NBO F24 - NKUBU 30T KEG,F24,KEG,30T,87422.96
NBO F24- Niu CITY CENT 30T KEG,F24,KEG,30T,20148.07
KBLNBO F24 - NRB JERICHO 307 KEG,F24,KEG,24T,20145.07
NBO F24 - NYAMBARE 30T KEG,F24,KEG,30T,27851.79
NBO F24 - NYERI SOT KEG,F24,KEG,24T,60335.85
KBLINGO F24 - PIPELINE 30T KEG,F24,KEG,30T,20148.07
KBLNBO F24 - RUIAU 30T KEG,F24,KEG,30T,20143.07
NBO F24- RUNYENIES SOT KEG,F24,KEG,24T,841.89
MOO F24 - URI MOYO 40T KEG,F24,KEG,40T,20148.07
NGO F24 - TALA 307 KEG,F24,KEG,24T,46072.62
NGO F24 - UKUNDA 30T KEG,F24,KEG,30T,142385.0
NBO F24 - WUNDANYI SOT KEG,F24,KEG,24T,144936.43
NGO F24 - BABA DOGO 7.5ST KEG,F24,KEG,24T,10186.3
NBO F24 - BOMET 7.5T KEG,F24,KEG,7.5T,43715.24
NGO F24 - WUNGOMA 7.5T KEG,F24,KEG,7.5T,74961.41
INDO F24- CHUKA 7.5T KEG,F24,KEG,7.5T,32994.09
NBO F24- ELOORET 7.5T KEG,F24,KEG,7.5T,535.5
NBO F24- EMBU 7.57 KEG,F24,KEG,24T,225.45
NBO F24- GILGIL7.ST KEG,F24,KEG,24T,20003.96
NBO F24 - GITHURAI7.5T KEG,F24,KEG,7.5T,14505.34
NBO F24- HOLA 7 5T KEG,F24,KEG,5T,55889.72
NBO F24- IKUTMA 7.5T KEG,F24,KEG,7.5T,45418.82
NBO F24 - JUJA 7.5T KEG,F24,KEG,7.5T,148.77
NBO F24- KAGATI 7.5T KEG,F24,KEG,7.5T,15777.51
NBO F24 - KAGIO 7.5T KEG,F24,KEG,7.5T,745.79
NBO F24- KAHURO 7.51 KEG,F24,KEG,24T,19587.71
NAO F24- PST REG KEG,F24,KEG,24T,22819.94
NBO F24 - KAPSADET 7.5T KEG,F24,KEG,7.5T,219.17
NBO F24. KARATINA 7.57 KEG,F24,KEG,24T,26688.93
NAO F24- KAWANGWARE 7.5T KEG,F24,KEG,7.5T,11166.3
NBO F24- KERUGOYA 7.57 KEG,F24,KEG,24T,25765.0
NBO F24 - KIBWEZI7.5T KEG,F24,KEG,7.5T,38755.14
NBO F24 . KIKUYU 7.57 KEG,F24,KEG,24T,753.36
NBO F24- KHMUTINN ST KEG,F24,KEG,24T,262.19
NGO F24- KISHI 7.5T KEG,F24,KEG,7.5T,907.05
NBO F24- KISUMU 7.5T KEG,F24,KEG,7.5T,845.47
NOO F24 - KITENGELA 7.57 KEG,F24,KEG,24T,14286.39
NBO F24- MACHAKOS 7.51 KEG,F24,KEG,24T,17327.55
KGLNBO F24- MATUU 7.57 KEG,F24,KEG,24T,22546.86
NBO F24- MAUA 7.ST KEG,F24,KEG,24T,44507.88
NBO F24- MWEA 7.57 KEG,F24,KEG,24T,19448.21
NBO F24 - MWIKI7 STKEG,F24,KEG,24T,14342.83
NAO F24 - NAXURU 7.5T KEG,F24,KEG,7.5T,33459.1
NBO F24 - NGONG 7.51 KEG,F24,KEG,24T,11538.22
NBO F24 - NIDRO 75ST KEG,F24,KEG,24T,36559.17
NBO F24 - NAG CITY CENT 7.57 KEG,F24,KEG,24T,10186.3
NBO F24 - NAB JERICHO 7.57 KEG,F24,KEG,24T,11166.3
NBO F24- NYERU7.ST KEG,F24,KEG,24T,29640.09
NBO F24 - OTHAYA 7.5T KEG,F24,KEG,7.5T,26998.93
KBLNBO F24 - RUIRU 7.5T KEG,F24,KEG,7.5T,10186.3
F24- SHAUMI MOYO 7.5T KEG,F24,KEG,7.5T,14238.18
F24 - TALA7.5T KEG,F24,KEG,7.5T,571.8
NGO F24 - TAVETA7.ST KEG,F24,KEG,24T,139.48
NOD F24 - THIKA 7.5T KEG,F24,KEG,7.5T,682.99
KBLNBO F24 - UTHIAU 7.5T KEG,F24,KEG,7.5T,12345.63
NGO F24 - KISUMU DEPOT JOT BEER,F24,BEER,24T,107198.03
NBG F24 - BUNGOMA 14 SPIRIT SPIRITS,F24,SPIRITS,24T,100241.42
NBO F24- EMBU 147 SPIRIT SPIRITS,F24,SPIRITS,24T,33293.2
NBO F24 - KAKAMEGA 14T SPIRIT SPIRITS,F24,SPIRITS,14T,93721.76
F24-KSPIITM ERALATSPIRITS,F24,SPIRITS,24T,12765.64
NBO F24 - KITENGELA 147 SPIRIT SPIRITS,F24,SPIRITS,24T,37735.96
NBO F24 - LAMU LAT SPIRIT SPIRITS,F24,SPIRITS,14T,113747.85
NBO F24 - LODWAA 147 Spiltt SPIRITS,F24,SPIRITS,24T,150801.05
NBO F24- LONOKTOK 147 SPIRIT SPIRITS,F24,SPIRITS,24T,49035.02
F24- MA PI SPIRITS,F24,SPIRITS,24T,11003.64
NBO F24 - MACHAKOS 147 SPIRIT SPIRITS,F24,SPIRITS,24T,21415.77
NBO F24 . MAKONGENI 147 SPIRIT SPIRITS,F24,SPIRITS,24T,16446.1
NRO F24- MARIAKAN14I1 SPIT SPIRITS,F24,SPIRITS,24T,106719.39
NBO F24- MARSADIT 147 SPIRIT SPIRITS,F24,SPIRITS,24T,125567.14
NBO F24 - MAUA 147 SPIRIT SPIRITS,F24,SPIRITS,24T,66045.28
NBO F24- MEMORIAL i4T SPIRIT SPIRITS,F24,SPIRITS,5T,11491.64
NBO F24- MERU 147 SPIRIT SPIRITS,F24,SPIRITS,24T,49408.86
NhO f24- MOGONIO 447 sPinIT SPIRITS,,SPIRITS,24T,55957.92
NBO F24- MOMBASA 147 SPIRIT SPIRITS,F24,SPIRITS,24T,117617.82
NBO F24- MURANGA 147 SPIRIT SPIRITS,F24,SPIRITS,24T,23783.02
NBO F24- MWEA 141 Spin SPIRITS,F24,SPIRITS,24T,25875.4
NBO F24 - MWIKI 147 SPIRIT SPIRITS,F24,SPIRITS,24T,11393.64
NBO F24 - NAIROBI THT 14 SPIRIT SPIRITS,F24,SPIRITS,24T,543.03
NBO F24 - NAKURU 147 SPIRIT SPIRITS,F24,SPIRITS,24T,47967.54
NDO F24-NAROK 447 SPIRIT SPIRITS,F24,SPIRITS,24T,126.14
NBO F24 - NGARA 14T SPIRIT SPIRITS,F24,SPIRITS,14T,11393.64
NOG F24 - NGONG 147 SPT SPIRITS,F24,SPIRITS,24T,17584.0
NGO F24- NKUBU 147 SPIRIT SPIRITS,F24,SPIRITS,24T,51744.08
NBO F24- INDUSTRIAL AREA 147 SPiuT SPIRITS,F24,SPIRITS,24T,12765.64
NBO F24. NYAHURURU 247 SPIRIT SPIRITS,F24,SPIRITS,24T,48225.34
F24- AONGAI14T SPIRIT SPIRITS,F24,SPIRITS,14T,12627.32
NHO F24- THIKA 147 SPIRIT SPIRITS,F24,SPIRITS,24T,15331.45
LNG F24- UTHIRU 147 SPIRIT SPIRITS,F24,SPIRITS,24T,12765.64
NBO F24- WAJIR 247 SPIRIT SPIRITS,F24,SPIRITS,24T,156334.2
NBO F24- ATHIAIVER JOT SPIRIT SPIRITS,F24,SPIRITS,24T,19865.52
NBO F24- BUNGOMA 307 SPinuT SPIRITS,F24,SPIRITS,24T,161595.04
NBO F24 - QURUBUAU 30T SPIRIT SPIRITS,F24,SPIRITS,30T,16856.8
NBO F24- DANDORA JOT sPIAIT SPIRITS,F24,SPIRITS,24T,16856.6
NBO F24- DONYO 30T SPIRIT SPIRITS,F24,SPIRITS,30T,33226.95
NBO F24- GIKOMBA 30T SPIRIT SPIRITS,F24,SPIRITS,30T,15171.32
NBO F24- ITEN 30T SPIRIT SPIRITS,F24,SPIRITS,30T,135096.16
NBO F24-JUJA JOT SPIRIT SPIRITS,F24,SPIRITS,24T,17836.6
F24- KABATI SOT SPIRIT SPIRITS,F24,SPIRITS,24T,29736.12
NBO F24- KAGIO 30T SPIRIT SPIRITS,F24,SPIRITS,30T,44640.65
NBO F24. KAHAWA 30T SPIRIT SPIRITS,F24,SPIRITS,30T,14308.8
NBO F24 - KAPSABET 307 SPIRIT SPIRITS,F24,SPIRITS,24T,127501.41
NOO F24 - KAREN SOF sPiart SPIRITS,F24,SPIRITS,24T,14308.89
NBO F24 - KAWANGWARE 307 SPIRIT SPIRITS,F24,SPIRITS,24T,16856.8
NBO F24. KERICHO 307 SPIRIT SPIRITS,F24,SPIRITS,24T,105610.69
NGO F24 - KERUGOYA 307 SPIRIT SPIRITS,F24,SPIRITS,24T,35.02
NBO F24 - KIANYAGA SOT SPIRIT SPIRITS,F24,SPIRITS,24T,47394.75
NOG F24 - KINAMBA 30f SPIA SPIRITS,F24,SPIRITS,24T,95138.21
NBO F24- KIS 30T SPIRIT SPIRITS,F24,SPIRITS,30T,119753.56
NBO F24 - KITENGELA SOY SPiny SPIRITS,F24,SPIRITS,24T,20042.95
NAG F24 - KITHYUKO 407 SPIRIT SPIRITS,F24,SPIRITS,24T,56509.48
NBO F24 - LANGATA 307 SPIRIT SPIRITS,F24,SPIRITS,24T,14696.0
NNO F24 - LOITOXTOX SOT SPIRIT SPIRITS,F24,SPIRITS,24T,65805.05
NBO F24 - LOKICHOGIO 30T SPIRIT SPIRITS,F24,SPIRITS,30T,311768.69
NBO F24 - MACHAKOS 307 SPIRIT SPIRITS,F24,SPIRITS,24T,33226.95
NOO F24- MALINDI SOT spinir SPIRITS,F24,SPIRITS,24T,217701.98
LINGO F24 - TAVETA 307 SPIRIT SPIRITS,F24,SPIRITS,24T,132167.59
KBLNBO F24 . THIXA 30T SPIRIT SPIRITS,F24,SPIRITS,30T,21610.93
NBO F24 - UTHIRU 30T SPIRIT SPIRITS,F24,SPIRITS,30T,26856.4
NBO F240 - WANR JOT SPIRIT SPIRITS,F24,SPIRITS,24T,249322.93
NBO F24 - CHANGAMWE 7 5ST SPIRIT SPIRITS,F24,SPIRITS,24T,66284.39
NBO F24 - DANDORA 7.5T SPIRIT SPIRITS,F24,SPIRITS,7.5T,11.47
NBO F24 - DONYO 7.ST SPIRIT SPIRITS,F24,SPIRITS,24T,16856.57
NBO F24 - EMALI 7.57 SPIRIT SPIRITS,F24,SPIRITS,24T,929.88
NOG F24- EMBAKASI 7.51 SPIT SPIRITS,F24,SPIRITS,24T,983.28
NGO F24- EMBU 7.57 SPIRIT SPIRITS,F24,SPIRITS,24T,455.37
NBO F24 - GIKOMBA 7.57 SPIRIT SPIRITS,F24,SPIRITS,24T,983.28
NBO F24 . GILGIL 7.57 SPIRIT SPIRITS,F24,SPIRITS,24T,26349.28
NBO F24 - HURUMA 7.57 SPIRIT SPIRITS,F24,SPIRITS,24T,983.28
NBO F24 - ISIOLO 7ST SPIRIT SPIRITS,F24,SPIRITS,24T,50999.31
NBO F24 - KAHAWA7.ST SPIRIT SPIRITS,F24,SPIRITS,24T,983.28
NBO F24 - KAKAMEGA 7.57 SPIRIT SPIRITS,F24,SPIRITS,24T,93566.56
NAO F274 - ABET 7 5T SPIRIT SPIRITS,F27,SPIRITS,5T,760.0
NBO F246 - KAWANGWARE 7.57 SPIRIT SPIRITS,F24,SPIRITS,24T,983.28
NBO F24 - KERICHO 7.5T SPIRIT SPIRITS,F24,SPIRITS,7.5T,44244.63
NBO F24 - KIBERA 7.57 SPIRIT SPIRITS,F24,SPIRITS,24T,10411.62
NBO F24- KiSUMU AYOTI7.ST SPIRIT SPIRITS,F24,SPIRITS,24T,75.39
NBO F24- KITALE 7.57 SPIRIT SPIRITS,F24,SPIRITS,24T,74502.01
NBO F24 - MAB 7.ST SPIRIT SPIRITS,F24,SPIRITS,24T,983.28
NBG F24- MUTOMO 7.57 SPIRIT SPIRITS,F24,SPIRITS,24T,39877.48
NBO F24 - NAKURU 7.57 SPIRIT SPIRITS,F24,SPIRITS,24T,52704.42
NBO F24 - THIKA 7.57 SPIRIT SPIRITS,F24,SPIRITS,24T,912.91
F24-KSM-ATHIA-I BVEEERR - 147 BEER,F24,BEER,24T,80255.53
F24-KSM-BOMET- BEER,F24,BEER,24T,31473.83
KOUKSM F24- BURUGURU 147 BEER,F24,BEER,24T,77224.3
KNLKSM F20- DUSIA 147 BEER,F20,BEER,20T,33690.95
KSM F24. ELOORET 147 BEER,F24,BEER,24T,30603.94
F24-KSM -EMALI- BEER,F24,BEER,24T,99157.61
F24-KSM-GAT-U NBEDEUR 147 BEER,F24,BEER,24T,74316.53
KSM F24- KISII 147 BEER,F24,BEER,24T,33031.4
KOLKSM F24- KISUMU 347 BEER,F24,BEER,24T,10764.17
KSM F24- KISUMU AYOTI 147 BEER,F24,BEER,24T,11744.17
F24-KSM-LIMURU-BEER,F24,BEER,24T,64192.45
F24 -KSM -LOKICHOGIO - BEER,F24,BEER,24T,141386.2
F24 -KSM -MACHAKOS - GEER- 141 BEER,F24,BEER,24T,78835.62
F24-KSM -NAIROGITHT - OEEN- 141 BEER,F24,BEER,24T,74192.82
F24 0KSM-NANYUKI. BEER,F24,BEER,24T,81908.93
F24 -KSM-NAROK - BEER,F24,BEER,24T,47107.36
F24 .KSM-NGONG. BEER,F24,BEER,24T,74316.53
F24 -KSM -RUIRU - BEER,F24,BEER,24T,81541.51
F24 -KSM -BURUBUAU - DELN-30T BEER,F24,BEER,30T,121213.76
KBLKSM F24-DAGORETTICOANER JOT BEER,F24,BEER,24T,115487.27
F24-KSM-DIANI. BEER,F24,BEER,24T,200582.77
