,destination,size,product_type,rate
2406,DIANI,30T,"130,007.02",130007.02
2407,-,7.5T,Nbo,88582.79
2408,DIANI,7.5T,"88,582.79",88582.79
2409,-,P/UP,Nbo,78232.25
2410,DIANI,P/UP,"78,232.25",78232.25
2411,-,14T,Nbo,31163.12
2412,EMALI,14T,"31,163.12",31163.12
2413,-,30T,Nbo,48066.0
2414,EMALI,30T,"48,066.00",48066.0
2415,-,7.5T,Nbo,44420.85
2416,EMALI,7.5T,"44,420.85",44420.85
2417,-,P/UP,Nbo,37850.93
2418,EMALI,P/UP,"37,850.93",37850.93
2419,-,14T,Nbo,36848.98
2420,KITUI,14T,"36,848.98",36848.98
2421,-,30T,Nbo,58459.92
2422,KITUI,30T,"58,459.92",58459.92
2423,-,7.5T,Nbo,58607.52
2424,KITUI,7.5T,"58,607.52",58607.52
2425,-,P/UP,Nbo,28515.61
2427,-,14T,Nbo,20006.42
2428,MACHAKOS,14T,"20,006.42",20006.42
2429,-,30T,Nbo,30593.63
2430,MACHAKOS,30T,"30,593.63",30593.63
2431,-,7.5T,Nbo,41258.84
2432,MACHAKOS,7.5T,"41,258.84",41258.84
2433,-,P/UP,Nbo,52734.6
2435,-,14T,Nbo,106601.84
2436,MOMBASA,14T,"106,601.84",106601.84
2437,-,30T,Nbo,107280.08
2438,MOMBASA,30T,"107,280.08",107280.08
2439,-,7.5T,Nbo,79894.43
2440,MOMBASA,7.5T,"79,894.43",79894.43
2441,-,P/UP,Nbo,78112.25
2443,-,14T,Nbo,106789.3
2444,NYALI,14T,"106,789.30",106789.3
2445,-,30T,Nbo,122490.18
2446,NYALI,30T,"122,490.18",122490.18
2447,-,7.5T,Nbo,81047.18
2448,NYALI,7.5T,"81,047.18",81047.18
2449,-,P/UP,Nbo,60900.91
2451,-,14T,Nbo,26270.4
2452,TALA,14T,"26,270.40",26270.4
2453,-,30T,Nbo,40176.21
2454,TALA,30T,"40,176.21",40176.21
2455,-,7.5T,Nbo,59069.02
2456,TALA,7.5T,"59,069.02",59069.02
2457,-,P/UP,Nbo,59549.02
2460,UKUNDA,14T,"113,120.88",113120.88
2462,UKUNDA,30T,"130,007.02",130007.02
2463,-,7.5T,Nbo,101055.62
2464,UKUNDA,7.5T,"101,055.62",101055.62
2465,-,P/UP,Nbo,95444.08
2466,UKUNDA,P/UP,"95,444.08",95444.08
2467,-,14T,Nbo,74317.78
2468,VOI,14T,"74,317.78",74317.78
2469,-,30T,Nbo,86710.93
2470,VOI,30T,"86,710.93",86710.93
2471,-,7.5T,Nbo,64038.38
2472,VOI,7.5T,"64,038.38",64038.38
2473,-,P/UP,Nbo,60617.46
2475,CHANGAMWE,14T,Keg,118946.77
2476,CHANGAMWE,14T,"118,946.77",118946.77
2477,CHANGAMWE,14T,Spirit,118158.0
2478,CHANGAMWE,14T,"118,158.00",118158.0
2479,CHANGAMWE,30T,Keg,104358.11
2480,CHANGAMWE,30T,"104,358.11",104358.11
2481,CHANGAMWE,30T,Spirit,191453.4
2482,CHANGAMWE,30T,"191,453.40",191453.4
2483,CHANGAMWE,7.5T,Keg,90174.56
2484,CHANGAMWE,7.5T,"90,174.56",90174.56
2485,CHANGAMWE,7.5T,Spirit,89404.48
2486,CHANGAMWE,7.5T,"89,404.48",89404.48
2487,CHANGAMWE,P/UP,Spirit,66630.39
2488,CHANGAMWE,P/UP,"66,630.39",66630.39
2489,EMALI,14T,Beer,36701.35
2490,EMALI,14T,"36,701.35",36701.35
2491,EMALI,14T,Keg,36764.42
2492,EMALI,14T,"36,764.42",36764.42
2493,EMALI,14T,Spirit,35975.65
2494,EMALI,14T,"35,975.65",35975.65
2495,EMALI,30T,Beer,54057.14
2496,EMALI,30T,"54,057.14",54057.14
2497,EMALI,30T,Keg,46766.8
2498,EMALI,30T,"46,766.80",46766.8
2499,EMALI,30T,Spirit,56816.05
2500,EMALI,30T,"56,816.05",56816.05
2501,EMALI,7.5T,Beer,28671.92
2502,EMALI,7.5T,"28,671.92",28671.92
2503,EMALI,7.5T,Keg,28699.96
2504,EMALI,7.5T,"28,699.96",28699.96
2505,EMALI,7.5T,Spirit,27929.88
2506,EMALI,7.5T,"27,929.88",27929.88
2507,EMALI,P/UP,Beer,25955.58
2508,EMALI,P/UP,"25,955.58",25955.58
2509,EMALI,P/UP,Spirit,25255.58
2510,EMALI,P/UP,"25,255.58",25255.58
2511,HOLA,14T,Keg,119846.31
2512,HOLA,14T,"119,846.31",119846.31
2513,HOLA,30T,Keg,193205.95
2514,HOLA,30T,"193,205.95",193205.95
2515,HOLA,7.5T,Keg,91074.1
2516,HOLA,7.5T,"91,074.10",91074.1
2517,KIBWEZI,14T,Beer,53026.55
2518,KIBWEZI,14T,"53,026.55",53026.55
2519,KIBWEZI,14T,Keg,53089.62
2520,KIBWEZI,14T,"53,089.62",53089.62
2521,KIBWEZI,14T,Spirit,52300.85
2522,KIBWEZI,14T,"52,300.85",52300.85
2523,KIBWEZI,30T,Beer,84227.34
2524,KIBWEZI,30T,"84,227.34",84227.34
2525,KIBWEZI,30T,Keg,84331.29
2526,KIBWEZI,30T,"84,331.29",84331.29
2527,KIBWEZI,30T,Spirit,83478.28
2528,KIBWEZI,30T,"83,478.28",83478.28
2529,KIBWEZI,7.5T,Beer,40877.22
2530,KIBWEZI,7.5T,"40,877.22",40877.22
2531,KIBWEZI,7.5T,Keg,40905.25
2532,KIBWEZI,7.5T,"40,905.25",40905.25
2533,KIBWEZI,7.5T,Spirit,40135.17
2534,KIBWEZI,7.5T,"40,135.17",40135.17
2535,KIBWEZI,P/UP,Beer,37051.67
2536,KIBWEZI,P/UP,"37,051.67",37051.67
2537,KIBWEZI,P/UP,Spirit,36351.67
2538,KIBWEZI,P/UP,"36,351.67",36351.67
2539,KILIFI,14T,Keg,132012.16
2540,KILIFI,14T,"132,012.16",132012.16
2541,KILIFI,14T,Spirit,131223.39
2542,KILIFI,14T,"131,223.39",131223.39
2543,KILIFI,30T,Keg,212755.76
2544,KILIFI,30T,"212,755.76",212755.76
2545,KILIFI,30T,Spirit,212188.91
2546,KILIFI,30T,"212,188.91",212188.91
2547,KILIFI,7.5T,Keg,100363.21
2548,KILIFI,7.5T,"100,363.21",100363.21
2549,KILIFI,7.5T,Spirit,99593.13
2550,KILIFI,7.5T,"99,593.13",99593.13
2551,KILIFI,P/UP,Spirit,90044.47
2552,KILIFI,P/UP,"90,044.47",90044.47
2553,KITHYUKO,14T,Keg,38695.85
2554,KITHYUKO,14T,"38,695.85",38695.85
2555,KITHYUKO,14T,Spirit,37907.09
2556,KITHYUKO,14T,"37,907.09",37907.09
2557,KITHYUKO,30T,Keg,60874.92
2558,KITHYUKO,30T,"60,874.92",60874.92
2559,KITHYUKO,30T,Spirit,60021.92
2560,KITHYUKO,30T,"60,021.92",60021.92
2561,KITHYUKO,7.5T,Keg,30123.45
2562,KITHYUKO,7.5T,"30,123.45",30123.45
2563,KITHYUKO,7.5T,Spirit,29353.37
2564,KITHYUKO,7.5T,"29,353.37",29353.37
2565,KITHYUKO,P/UP,Spirit,26542.33
2566,KITHYUKO,P/UP,"26,542.33",26542.33
2567,KITUI,14T,Beer,43500.1
2568,KITUI,14T,"43,500.10",43500.1
2569,KITUI,14T,Keg,43563.17
2570,KITUI,14T,"43,563.17",43563.17
2571,KITUI,14T,Spirit,42774.4
2572,KITUI,14T,"42,774.40",42774.4
2573,KITUI,30T,Beer,50287.37
2574,KITUI,30T,"50,287.37",50287.37
2575,KITUI,30T,Keg,70273.55
2576,KITUI,30T,"70,273.55",70273.55
2577,KITUI,30T,Spirit,69420.54
2578,KITUI,30T,"69,420.54",69420.54
2579,KITUI,7.5T,Beer,34156.76
2580,KITUI,7.5T,"34,156.76",34156.76
2581,KITUI,7.5T,Keg,34184.79
2582,KITUI,7.5T,"34,184.79",34184.79
2583,KITUI,7.5T,Spirit,33414.71
2584,KITUI,7.5T,"33,414.71",33414.71
2585,KITUI,P/UP,Beer,30817.44
2586,KITUI,P/UP,"30,817.44",30817.44
2587,KITUI,P/UP,Spirit,30117.44
2588,KITUI,P/UP,"30,117.44",30117.44
2589,LAMU,14T,Beer,118924.83
2590,LAMU,14T,"118,924.83",118924.83
2591,LAMU,14T,Spirit,118199.13
2592,LAMU,14T,"118,199.13",118199.13
2593,LAMU,30T,Beer,191677.17
2594,LAMU,30T,"191,677.17",191677.17
2595,LAMU,30T,Spirit,191214.27
2596,LAMU,30T,"191,214.27",191214.27
2597,LAMU,7.5T,Beer,90413.4
2598,LAMU,7.5T,"90,413.40",90413.4
2599,LAMU,7.5T,Spirit,89671.35
2600,LAMU,7.5T,"89,671.35",89671.35
2601,LAMU,P/UP,Beer,81758.5
2602,LAMU,P/UP,"81,758.50",81758.5
2603,LAMU,P/UP,Spirit,81099.38
2604,LAMU,P/UP,"81,099.38",81099.38
2605,LOITOKTOK,14T,Beer,51079.8
2606,LOITOKTOK,14T,"51,079.80",51079.8
2607,LOITOKTOK,30T,Beer,81430.98
2608,LOITOKTOK,30T,"81,430.98",81430.98
2609,LOITOKTOK,7.5T,Beer,39269.09
2610,LOITOKTOK,7.5T,"39,269.09",39269.09
2611,LOITOKTOK,P/UP,Beer,35534.72
2612,LOITOKTOK,P/UP,"35,534.72",35534.72
2613,MACHAKOS,14T,Beer,23937.71
2614,MACHAKOS,14T,"23,937.71",23937.71
2615,MACHAKOS,14T,Keg,27591.86
2616,MACHAKOS,14T,"27,591.86",27591.86
2617,MACHAKOS,14T,Spirit,23212.01
2618,MACHAKOS,14T,"23,212.01",23212.01
2619,MACHAKOS,30T,Beer,22864.87
2620,MACHAKOS,30T,"22,864.87",22864.87
2621,MACHAKOS,30T,Keg,37117.24
2622,MACHAKOS,30T,"37,117.24",37117.24
2623,MACHAKOS,30T,Spirit,36264.23
2624,MACHAKOS,30T,"36,264.23",36264.23
2625,MACHAKOS,7.5T,Beer,19012.32
2626,MACHAKOS,7.5T,"19,012.32",19012.32
2627,MACHAKOS,7.5T,Keg,19040.35
2628,MACHAKOS,7.5T,"19,040.35",19040.35
2629,MACHAKOS,7.5T,Spirit,18270.27
2630,MACHAKOS,7.5T,"18,270.27",18270.27
2631,MACHAKOS,P/UP,Beer,17131.67
2632,MACHAKOS,P/UP,"17,131.67",17131.67
2633,MACHAKOS,P/UP,Spirit,16431.67
2634,MACHAKOS,P/UP,"16,431.67",16431.67
2635,MALINDI,14T,Beer,141177.05
2636,MALINDI,14T,"141,177.05",141177.05
2637,MALINDI,14T,Spirit,140451.36
2638,MALINDI,14T,"140,451.36",140451.36
2639,MALINDI,30T,Beer,227968.71
2640,MALINDI,30T,"227,968.71",227968.71
2641,MALINDI,30T,Spirit,227219.66
2642,MALINDI,30T,"227,219.66",227219.66
2643,MALINDI,7.5T,Beer,107136.35
2644,MALINDI,7.5T,"107,136.35",107136.35
2645,MALINDI,7.5T,Spirit,106394.3
2646,MALINDI,7.5T,"106,394.30",106394.3
2647,MALINDI,P/UP,Beer,96851.41
2648,MALINDI,P/UP,"96,851.41",96851.41
2649,MALINDI,P/UP,Spirit,96151.41
2650,MALINDI,P/UP,"96,151.41",96151.41
2651,MARIAKANI,14T,Beer,113988.93
2652,MARIAKANI,14T,"113,988.93",113988.93
2653,MARIAKANI,14T,Spirit,113420.92
2654,MARIAKANI,14T,"113,420.92",113420.92
2655,MARIAKANI,30T,Beer,183484.4
2656,MARIAKANI,30T,"183,484.40",183484.4
2657,MARIAKANI,30T,Spirit,183021.51
2658,MARIAKANI,30T,"183,021.51",183021.51
2659,MARIAKANI,7.5T,Beer,86844.47
2660,MARIAKANI,7.5T,"86,844.47",86844.47
2661,MARIAKANI,7.5T,Spirit,86144.47
2662,MARIAKANI,7.5T,"86,144.47",86144.47
2663,MARIAKANI,P/UP,Beer,78470.14
2664,MARIAKANI,P/UP,"78,470.14",78470.14
2665,MARIAKANI,P/UP,Spirit,77811.02
2666,MARIAKANI,P/UP,"77,811.02",77811.02
2667,MATUU,14T,Keg,30884.27
2668,MATUU,14T,"30,884.27",30884.27
2669,MATUU,14T,Spirit,30095.5
2670,MATUU,14T,"30,095.50",30095.5
2671,MATUU,30T,Keg,47908.99
2672,MATUU,30T,"47,908.99",47908.99
2673,MATUU,30T,Spirit,47342.14
2674,MATUU,30T,"47,342.14",47342.14
2675,MATUU,7.5T,Keg,24366.18
2676,MATUU,7.5T,"24,366.18",24366.18
2677,MATUU,7.5T,Spirit,23596.1
2678,MATUU,7.5T,"23,596.10",23596.1
2679,MATUU,P/UP,Spirit,21379.02
2680,MATUU,P/UP,"21,379.02",21379.02
2681,MOMBASA,14T,Beer,122102.76
2682,MOMBASA,14T,"122,102.76",122102.76
2683,MOMBASA,14T,Spirit,121377.06
2684,MOMBASA,14T,"121,377.06",121377.06
2685,MOMBASA,30T,Beer,197545.56
2686,MOMBASA,30T,"197,545.56",197545.56
2687,MOMBASA,30T,Spirit,196796.5
2688,MOMBASA,30T,"196,796.50",196796.5
2689,MOMBASA,7.5T,Beer,92519.03
2690,MOMBASA,7.5T,"92,519.03",92519.03
2691,MOMBASA,7.5T,Spirit,91776.98
2692,MOMBASA,7.5T,"91,776.98",91776.98
2693,MOMBASA,P/UP,Beer,84474.97
2694,MOMBASA,P/UP,"84,474.97",84474.97
2695,MOMBASA,P/UP,Spirit,83774.97
2696,MOMBASA,P/UP,"83,774.97",83774.97
2697,MTONGWE,14T,Beer,123216.9
2698,MTONGWE,14T,"123,216.90",123216.9
2699,MTONGWE,14T,Spirit,122491.21
2700,MTONGWE,14T,"122,491.21",122491.21
2701,MTONGWE,30T,Beer,198801.3
2702,MTONGWE,30T,"198,801.30",198801.3
2703,MTONGWE,30T,Spirit,198338.41
2704,MTONGWE,30T,"198,338.41",198338.41
2705,MTONGWE,7.5T,Beer,93576.73
2706,MTONGWE,7.5T,"93,576.73",93576.73
2707,MTONGWE,7.5T,Spirit,92834.68
2708,MTONGWE,7.5T,"92,834.68",92834.68
2709,MTONGWE,P/UP,Beer,84617.94
2710,MTONGWE,P/UP,"84,617.94",84617.94
2711,MTONGWE,P/UP,Spirit,83958.82
2712,MTONGWE,P/UP,"83,958.82",83958.82
2713,MWINGI,14T,Beer,44954.1
2714,MWINGI,14T,"44,954.10",44954.1
2715,MWINGI,14T,Keg,39571.01
2716,MWINGI,14T,"39,571.01",39571.01
2717,MWINGI,14T,Spirit,44228.4
2718,MWINGI,14T,"44,228.40",44228.4
2719,MWINGI,30T,Beer,49235.99
2720,MWINGI,30T,"49,235.99",49235.99
2721,MWINGI,30T,Keg,37008.97
2722,MWINGI,30T,"37,008.97",37008.97
2723,MWINGI,30T,Spirit,70591.33
2724,MWINGI,30T,"70,591.33",70591.33
2725,MWINGI,7.5T,Beer,29178.83
2726,MWINGI,7.5T,"29,178.83",29178.83
2727,MWINGI,7.5T,Keg,32868.46
2728,MWINGI,7.5T,"32,868.46",32868.46
2729,MWINGI,7.5T,Spirit,33981.58
2730,MWINGI,7.5T,"33,981.58",33981.58
2731,MWINGI,P/UP,Beer,29531.5
2732,MWINGI,P/UP,"29,531.50",29531.5
2733,MWINGI,P/UP,Spirit,28831.5
2734,MWINGI,P/UP,"28,831.50",28831.5
2735,NYALI,14T,Beer,123216.9
2736,NYALI,14T,"123,216.90",123216.9
2737,NYALI,14T,Spirit,122491.21
2738,NYALI,14T,"122,491.21",122491.21
2739,NYALI,30T,Beer,202859.08
2740,NYALI,30T,"202,859.08",202859.08
2741,NYALI,30T,Spirit,198052.25
2742,NYALI,30T,"198,052.25",198052.25
2743,NYALI,7.5T,Beer,93576.73
2744,NYALI,7.5T,"93,576.73",93576.73
2745,NYALI,7.5T,Spirit,92834.68
2746,NYALI,7.5T,"92,834.68",92834.68
2747,NYALI,P/UP,Beer,84617.94
2748,NYALI,P/UP,"84,617.94",84617.94
2749,NYALI,P/UP,Spirit,83917.94
2750,NYALI,P/UP,"83,917.94",83917.94
2751,SAMBURU,14T,Keg,105293.53
2752,SAMBURU,14T,"105,293.53",105293.53
2753,SAMBURU,14T,Spirit,104504.76
2754,SAMBURU,14T,"104,504.76",104504.76
2755,SAMBURU,30T,Keg,169569.96
2756,SAMBURU,30T,"169,569.96",169569.96
2757,SAMBURU,30T,Spirit,169003.12
2758,SAMBURU,30T,"169,003.12",169003.12
2759,SAMBURU,7.5T,Keg,80075.3
2760,SAMBURU,7.5T,"80,075.30",80075.3
2761,SAMBURU,7.5T,Spirit,79305.22
2762,SAMBURU,7.5T,"79,305.22",79305.22
2763,SAMBURU,P/UP,Spirit,71770.72
2764,SAMBURU,P/UP,"71,770.72",71770.72
2765,TALA,14T,Beer,30983.38
2766,TALA,14T,"30,983.38",30983.38
2767,TALA,14T,Keg,20195.5
2768,KAGUNDO,14T,"20,195.50",20195.5
2769,TALA,14T,Spirit,31219.02
2770,TALA,14T,"31,219.02",31219.02
2771,TALA,30T,Beer,34011.23
2772,TALA,30T,"34,011.23",34011.23
2773,TALA,30T,Keg,48372.06
2774,EB,30T,"48,372.06",48372.06
2775,TALA,30T,Spirit,47402.25
2776,TALA,30T,"47,402.25",47402.25
2777,TALA,7.5T,Beer,24426.97
2778,TALA,7.5T,"24,426.97",24426.97
2779,TALA,7.5T,Keg,24571.8
2780,EB,7.5T,"24,571.80",24571.8
2781,TALA,7.5T,Spirit,40936.08
2782,TALA,7.5T,"40,936.08",40936.08
2783,TALA,P/UP,Beer,22224.0
2784,TALA,P/UP,"22,224.00",22224.0
2785,TALA,P/UP,Spirit,21524.0
2786,TALA,P/UP,"21,524.00",21524.0
2787,TAVETA,14T,Beer,87779.67
2788,TAVETA,14T,"87,779.67",87779.67
2789,TAVETA,14T,Keg,87842.74
2790,TAVETA,14T,"87,842.74",87842.74
2791,TAVETA,14T,Spirit,87053.98
2792,TAVETA,14T,"87,053.98",87053.98
2793,TAVETA,30T,Beer,140686.97
2794,TAVETA,30T,"140,686.97",140686.97
2795,TAVETA,30T,Keg,140790.92
2796,TAVETA,30T,"140,790.92",140790.92
2797,TAVETA,30T,Spirit,140224.07
2798,TAVETA,30T,"140,224.07",140224.07
2799,TAVETA,7.5T,Beer,67111.45
2800,TAVETA,7.5T,"67,111.45",67111.45
2801,TAVETA,7.5T,Keg,67139.48
2802,TAVETA,7.5T,"67,139.48",67139.48
2803,TAVETA,7.5T,Spirit,87042.26
2804,TAVETA,7.5T,"87,042.26",87042.26
2805,TAVETA,P/UP,Beer,60709.57
2806,TAVETA,P/UP,"60,709.57",60709.57
2807,TAVETA,P/UP,Spirit,60050.45
2808,TAVETA,P/UP,"60,050.45",60050.45
2809,UKUNDA,14T,Beer,130446.86
2810,UKUNDA,14T,"130,446.86",130446.86
2811,UKUNDA,14T,Keg,130509.93
2812,UKUNDA,14T,"130,509.93",130509.93
2813,UKUNDA,14T,Spirit,129721.16
2814,UKUNDA,14T,"129,721.16",129721.16
2815,UKUNDA,30T,Beer,210158.36
2816,UKUNDA,30T,"210,158.36",210158.36
2817,UKUNDA,30T,Keg,210262.32
2818,UKUNDA,30T,"210,262.32",210262.32
2819,UKUNDA,30T,Spirit,209409.31
2820,UKUNDA,30T,"209,409.31",209409.31
2821,UKUNDA,7.5T,Beer,99228.01
2822,UKUNDA,7.5T,"99,228.01",99228.01
2823,UKUNDA,7.5T,Keg,99256.04
2824,UKUNDA,7.5T,"99,256.04",99256.04
2825,UKUNDA,7.5T,Spirit,98485.96
2826,UKUNDA,7.5T,"98,485.96",98485.96
2827,UKUNDA,P/UP,Beer,89702.79
2828,UKUNDA,P/UP,"89,702.79",89702.79
2829,UKUNDA,P/UP,Spirit,89002.79
2830,UKUNDA,P/UP,"89,002.79",89002.79
2831,UKUNDA/DIANI,30T,Keg,108633.16
2832,UKUNDA/DIANI,30T,"108,633.16",108633.16
2833,VOI,14T,Beer,86062.85
2834,VOI,14T,"86,062.85",86062.85
2835,VOI,14T,Keg,86125.92
2836,VOI,14T,"86,125.92",86125.92
2837,VOI,14T,Spirit,106762.02
2838,VOI,14T,"106,762.02",106762.02
2839,VOI,30T,Beer,137837.31
2840,VOI,30T,"137,837.31",137837.31
2841,VOI,30T,Keg,137941.26
2842,VOI,30T,"137,941.26",137941.26
2843,VOI,30T,Spirit,137088.25
2844,VOI,30T,"137,088.25",137088.25
2845,VOI,7.5T,Beer,65846.12
2846,VOI,7.5T,"65,846.12",65846.12
2847,VOI,7.5T,Keg,65874.15
2848,VOI,7.5T,"65,874.15",65874.15
2849,VOI,7.5T,Spirit,65104.07
2850,VOI,7.5T,"65,104.07",65104.07
2851,VOI,P/UP,Beer,59565.8
2852,VOI,P/UP,"59,565.80",59565.8
2853,VOI,P/UP,Spirit,58865.8
2854,VOI,P/UP,"58,865.80",58865.8
2855,WOTE,14T,Beer,49577.58
2856,WOTE,14T,"49,577.58",49577.58
2857,WOTE,14T,Keg,49640.65
2858,WOTE,14T,"49,640.65",49640.65
2859,WOTE,14T,Spirit,48851.88
2860,WOTE,14T,"48,851.88",48851.88
2861,WOTE,30T,Keg,79041.49
2862,WOTE,30T,"79,041.49",79041.49
2863,WOTE,30T,Spirit,78188.48
2864,WOTE,30T,"78,188.48",78188.48
2865,WOTE,7.5T,Beer,38161.92
2866,WOTE,7.5T,"38,161.92",38161.92
2867,WOTE,7.5T,Keg,38189.95
2868,WOTE,7.5T,"38,189.95",38189.95
2869,WOTE,7.5T,Spirit,37419.87
2870,WOTE,7.5T,"37,419.87",37419.87
2871,WOTE,P/UP,Beer,34533.92
2872,WOTE,P/UP,"34,533.92",34533.92
2873,WOTE,P/UP,Spirit,33833.92
2874,WOTE,P/UP,"33,833.92",33833.92
2875,WOTE/MAKUENI,14T,Keg,32665.75
2876,WOTE/MAKUENI,14T,"32,665.75",32665.75
2877,WOTE/MAKUENI,30T,Beer,43160.98
2878,WOTE/MAKUENI,30T,"43,160.98",43160.98
2879,WUNDANYI,14T,Keg,95207.16
2880,WUNDANYI,14T,"95,207.16",95207.16
2881,WUNDANYI,14T,Spirit,94418.39
2882,WUNDANYI,14T,"94,418.39",94418.39
2883,WUNDANYI,30T,Keg,152828.23
2884,WUNDANYI,30T,"152,828.23",152828.23
2885,WUNDANYI,30T,Spirit,152261.38
2886,WUNDANYI,30T,"152,261.38",152261.38
2887,WUNDANYI,7.5T,Keg,72641.46
2888,WUNDANYI,7.5T,"72,641.46",72641.46
2889,WUNDANYI,7.5T,Spirit,71871.38
2890,WUNDANYI,7.5T,"71,871.38",71871.38
2891,WUNDANYI,P/UP,Spirit,65051.02
2892,WUNDANYI,P/UP,"65,051.02",65051.02
