page,raw_line,lane_candidate,lane_clean,matched_lane,ocr_rate,matched_rate,diff
10,"KBL NBO F24- MARALAL 307 BEER BEER 30T 297,006.31 267,305.68 29,700.63",KBL NBO F24- MARALAL 307 BEER,KBL NBO F24 MARALAL 307 BEER,KBL NBO F20  MARALAL 30T BEER,297006.31,426.85,296579.46
10,"KBL NBO F24» MARIAKANI 307 BEER ctr NiO COAST | MARIAKANI 301 175,910.15 157,786.24 17,531.82",KBL NBO F24» MARIAKANI 307 BEER ctr NiO COAST,KBL NBO F24 MARIAKANI 307 BEER CTR NIO COAST,KBL NBO F20  MARIAKANI 30T BEER,175910.15,484.4,175425.75
10,"KUL NAO F24- MARSAQIT 307 ACER BEER NBO MOUNTAIN [MARS ABIT jot 197,506.59 177,755.93 49,750.66",KUL NAO F24- MARSAQIT 307 ACER BEER,KUL NAO F24 MARSAQIT 307 ACER BEER,KBL NBO F20  MARSABIT 30T BEER,197506.59,896.52,196610.07
10,"KGL NGO F24- MATHARE 307 BEER BEER Nao NAIROM —[MATHARE 307 14,798.80 13,318.92 1,479.88",KGL NGO F24- MATHARE 307 BEER,KGL NGO F24 MATHARE 307 BEER,KBL NBO F20  MATHARE 30T BEER,14798.8,51.59,14747.21
10,"RBL NBO F24~- MAUA Sar BEER DEER NBO MOUNTAIN |MAUA 30 110,095.92 99,086.33 13,009.59",RBL NBO F24~- MAUA Sar BEER DEER NBO MOUNTAIN,RBL NBO F24 MAUA SAR BEER DEER NBO MOUNTAIN,,110095.92,,
10,"KBL.NBO F24- MOGOTIO 30T BEER BEER [NBO RIFT MOGOTIO 30T 89,138.20 80,224.38 6,913.82",KBL.NBO F24- MOGOTIO 30T BEER,KBLNBO F24 MOGOTIO 30T BEER,KBL NBO F20  MOGOTIO 30T BEER,89138.2,316.54,88821.66
10,"KKIBLL. NNBAOO FF2244.- MMOTMOBNAGSWAE 330077 BBEEEERR fBeEsEsRe fNBsO CAOASSTT |M_|OMMIBONAGSWAE a3o0rT 118992,,624641..6625 11770,3 ,036.600, 39 1198,,292664..2476",KKIBLL. NNBAOO FF2244.- MMOTMOBNAGSWAE 330077 BBEEEERR fBeEsEsRe fNBsO CAOASSTT,KKIBLL NNBAOO FF2244 MMOTMOBNAGSWAE 330077 BBEEEERR FBEESESRE FNBSO CAOASSTT,,36.6,,
10,"KBL NBO F24. MURANGA 30T BEER BEER NBO MOUNTAIN [MURANGA 30T 34,535.32 31,059.61 3,455.51",KBL NBO F24. MURANGA 30T BEER,KBL NBO F24 MURANGA 30T BEER,KBL NBO F20  MURANGA 30T BEER,34535.32,619.51,33915.81
10,"KL NAO F24~ MWEA 307 DEER BEER [NBO MOUNTAIN |MWEA aor 41,690.43 37,521.44 4,169.05",KL NAO F24~ MWEA 307 DEER BEER [NBO MOUNTAIN,KL NAO F24 MWEA 307 DEER BEER NBO MOUNTAIN,KBL NBO F20  MWEA 30T BEER,41690.43,600.5,41089.93
10,"KUL NBO F24- MWIKIZOT BEER BEER NBO NAIKOOL [WIKI 307 14,798.80 13,318.92 1,479.88",KUL NBO F24- MWIKIZOT BEER,KUL NBO F24 MWIKIZOT BEER,KBL NBO F20  MWIKI 75T BEER,14798.8,794.24,14004.56
10,"KBL.NBO F24- NAIROBI THT 30T GEER BEER Nb NAIROBI [NAIROBI THT _30T 14,798.80 13,718.92 1,479.88",KBL.NBO F24- NAIROBI THT 30T GEER BEER,KBLNBO F24 NAIROBI THT 30T GEER BEER,KBL NBO F20  NAIROBI THT 30T BEER,14798.8,51.59,14747.21
10,"KBL NBO F24- NAIVASHA 307 BEER BEER NGO RIFT NAIVASHA i0F 45,257.04 40,732.06 4,525.78",KBL NBO F24- NAIVASHA 307 BEER,KBL NBO F24 NAIVASHA 307 BEER,KBL NBO F20  NAIVASHA 30T BEER,45257.04,840.66,44416.38
10,"KOL NBO F24~- NANYUKi 307 BEER aver NBO MOUNTAIN [NANYUKI 307 80,504.41 72,453.97 8,050.44","KOL NBO F24~- NANYUKi 307 BEER aver NBO MOUNTAIN [NANYUKI 307 80,504.41 72,453.97 8,050.44",KOL NBO F24 NANYUKI 307 BEER AVER NBO MOUNTAIN NANYUKI 307 8050441 7245397 805044,,80504.41,,
