LANE DESCRIPTION,SOURCE,REGION,DESTINATION,TRUCK SIZE,UNUSED,RATE (KES)
AUTO - NRB CITY CENT EB - 7.5T,NBO,,NRB CITY CENT EB,7.5T,,4823.84
AUTO - NRB JERICHO EB - 14T,NBO,,NRB JERICHO EB,14T,,7201.32
AUTO - NYAHURURU EB - 30T,NBO,,NYAHURURU EB,30T,,43420.0
AUTO - NYALI 7T THT - 7T,NBO,,NYALI 7T THT,7T,,97.5
AUTO - NYALI PICKUPVAN THT - NYALIPICKUPVANTHT,NBO,,NYALI PICKUPVAN THT,NYALIPICKUPVANTHT,,52.5
AUTO - NYERI - 14T,NBO,,NYERI,14T,,18135.7
AUTO - NYERI EB - 14T,NBO,,NYERI EB,14T,,20008.88
AUTO - OTHAYA - 30T,NBO,,OTHAYA,30T,,27238.4
AUTO - RUIRU - 30T,NBO,,RUIRU,30T,,8672.9
AUTO - SAIKA - 14T,NBO,,SAIKA,14T,,7009.32
AUTO - SAIKA - 7.5T,NBO,,SAIKA,7.5T,,5333.15
AUTO - SHAURI MOYO - 14T,NBO,,SHAURI MOYO,14T,,9111.72
AUTO - TALA - 14T,NBO,,TALA,14T,,14076.78
AUTO - TALA EB - 14T,NBO,,TALA EB,14T,,9179.82
AUTO - UKUNDA - 14T,NBO,,UKUNDA,14T,,63060.84
AUTO - UKUNDA - 30T,NBO,,UKUNDA,30T,,72068.5
AUTO - UMOJA EB - 14T,NBO,,UMOJA EB,14T,,1446.0
AUTO - UMOJA EB - 7.5T,NBO,,UMOJA EB,7.5T,,5823.15
AUTO - UTHIRU EB - 14T,NBO,,UTHIRU EB,14T,,6524.38
AUTO - WOTE - 14T,NBO,,WOTE,14T,,14916.2
AUTO - WOTE EB - 14T,NBO,,WOTE EB,14T,,15222.2
AUTO - WOTE EB - 7.5T,NBO,,WOTE EB,7.5T,,1395.0
